accepted_name,region_id,region_eco
Euphorbia weberbaueri,MA,Mesoandina
Euphorbia weberbaueri,BS,Bosques Secos
Jatropha humboldtiana,BMHP,Bosques Muy Húmedos Premontanos
Jatropha humboldtiana,BHA,Bosques Húmedos Amazónicos
Jatropha macrantha,MDE,Matorral Desértico
Jatropha rumicifolia,MDE,Matorral Desértico
Manihot peruviana,BHA,Bosques Húmedos Amazónicos
Phyllanthus lacerilobus,BHA,Bosques Húmedos Amazónicos
Phyllanthus ventricosus,BHA,Bosques Húmedos Amazónicos
Phyllanthus vincentae,BHA,Bosques Húmedos Amazónicos
Poinsettia inornata,DST,Desierto Semicálido Tropical
Sebastiania haploclada,MA,Mesoandina
Stillingia parvifolia,MA,Mesoandina
Tragia rubiginosa,BHA,Bosques Húmedos Amazónicos
Senegalia klugii,BMHP,Bosques Muy Húmedos Premontanos
Adesmia augusti,MA,Mesoandina
Adesmia hispidula,MA,Mesoandina
Aeschynomene weberbaueri,MA,Mesoandina
Aeschynomene weberbaueri,BS,Bosques Secos
Affonsea gereauana,BHA,Bosques Húmedos Amazónicos
Albizia multiflora var. sagasteguii,MA,Mesoandina
Astragalus bryogenes,PSH,Puna Húmeda y Seca
Astragalus cracca,MA,Mesoandina
Astragalus dillinghamii,PSH,Puna Húmeda y Seca
Astragalus dombeyi,MA,Mesoandina
Astragalus neobarnebyanus,DST,Desierto Semicálido Tropical
Astragalus pickeringii,PSH,Puna Húmeda y Seca
Astragalus pickeringii,AA,Altoandina
Astragalus romasanus,MDE,Matorral Desértico
Astragalus romasanus,MA,Mesoandina
Astragalus romasanus,PSH,Puna Húmeda y Seca
Astragalus sagasteguii,PAR,PAR
Bauhinia accrescens,BHA,Bosques Húmedos Amazónicos
Bauhinia guentheri,BHA,Bosques Húmedos Amazónicos
Bauhinia porphyrotricha var. killipiana,BMHP,Bosques Muy Húmedos Premontanos
Bauhinia porphyrotricha var. killipiana,BHA,Bosques Húmedos Amazónicos
Bauhinia porphyrotricha var. smithiana,BHA,Bosques Húmedos Amazónicos
Brownea peruviana,BMHP,Bosques Muy Húmedos Premontanos
Brownea peruviana,BHA,Bosques Húmedos Amazónicos
Caesalpinia chicamana,DST,Desierto Semicálido Tropical
