accepted_name,region_id,region_eco
Capparidastrum sprucei,BMHP,Bosques Muy Húmedos Premontanos
Capparidastrum sprucei,BHA,Bosques Húmedos Amazónicos
Cleome mathewsii,Sin datos,Sin datos
Cleoserrata speciosa,Sin datos,Sin datos
Cleoserrata speciosa,Sin datos,Sin datos
Podandrogyne hispidula,BMHP,Bosques Muy Húmedos Premontanos
Viburnum meiothyrsum,MA,Mesoandina
Viburnum tridentatum,Sin datos,Sin datos
Viburnum wurdackii,BMHM,Bosques Muy Húmedos Montanos
Carica aprica,MDE,Matorral Desértico
Carica aprica,MA,Mesoandina
Carica augusti,BMHM,Bosques Muy Húmedos Montanos
Lepigonum rupestre,AA,Altoandina
Alsine weberbaueri,AA,Altoandina
Minuartia verna,MA,Mesoandina
Arenaria crassipes,PSH,Puna Húmeda y Seca
Arenaria crassipes,AA,Altoandina
Arenaria engleriana,PSH,Puna Húmeda y Seca
Arenaria mattfeldii,AA,Altoandina
Arenaria nitida,PAR,PAR
Arenaria nitida,AA,Altoandina
Arenaria pallens,AA,Altoandina
Arenaria poeppigiana,DST,Desierto Semicálido Tropical
Arenaria poeppigiana,MA,Mesoandina
Arenaria poeppigiana,BMHM,Bosques Muy Húmedos Montanos
Arenaria standleyi,AA,Altoandina
Cerastium nanum,AA,Altoandina
Drymaria auriculipetala,MDE,Matorral Desértico
Drymaria divaricata var. divaricata,DST,Desierto Semicálido Tropical
Drymaria divaricata var. divergens,DST,Desierto Semicálido Tropical
Drymaria divaricata var. reflexiflora,DST,Desierto Semicálido Tropical
Drymaria divaricata var. reflexiflora,MDE,Matorral Desértico
Drymaria divaricata var. reflexiflora,MA,Mesoandina
Drymaria divaricata var. viscidula,MDE,Matorral Desértico
Drymaria divaricata var. viscidula,MA,Mesoandina
Drymaria engleriana var. engleriana,MA,Mesoandina
Drymaria fasciculata,MA,Mesoandina
Drymaria fasciculata,PSH,Puna Húmeda y Seca
Drymaria frutescens,PAR,PAR
Drymaria glaberrima,MA,Mesoandina
Drymaria grandiflora,MA,Mesoandina
Drymaria paposana var. serrulata,DST,Desierto Semicálido Tropical
Drymaria paposana var. weberbaueri,DST,Desierto Semicálido Tropical
Drymaria praecox,PSH,Puna Húmeda y Seca
Drymaria praecox,BPM,Bosques Pluviales Montanos
Paronychia andina,AA,Altoandina
Paronychia ellenbergii,MA,Mesoandina
Paronychia fusciflora,PAR,PAR
Paronychia libertadiana,PSH,Puna Húmeda y Seca
Paronychia libertadiana,PAR,PAR
Paronychia libertadiana,AA,Altoandina
Paronychia limaei,MA,Mesoandina
Paronychia limaei,PSH,Puna Húmeda y Seca
Paronychia limaei,AA,Altoandina
Paronychia macbridei,MDE,Matorral Desértico
Paronychia macbridei,MA,Mesoandina
Paronychia microphylla var. arequepensis,MA,Mesoandina
Pycnophyllopsis cryptantha,AA,Altoandina
Polycarpon urbanianum,AA,Altoandina
Pycnophyllum aschersonianum,AA,Altoandina
Pycnophyllum holleanum,AA,Altoandina
Pycnophyllum horizontale,AA,Altoandina
Pycnophyllopsis macrophylla,AA,Altoandina
Pycnophyllum peruvianum,AA,Altoandina
Silene muschleri,MA,Mesoandina
Silene rhizophora,AA,Altoandina
Silene weberbaueri,AA,Altoandina
Spergularia collina,Sin datos,Sin datos
Spergularia congestifolia,DST,Desierto Semicálido Tropical
Stellaria aphananthoidea,MA,Mesoandina
Cecropia albicans,BMHM,Bosques Muy Húmedos Montanos
Cecropia chlorostachya,BMHM,Bosques Muy Húmedos Montanos
Cecropia dentata,BMHM,Bosques Muy Húmedos Montanos
Cecropia tubulosa,BHA,Bosques Húmedos Amazónicos
Pourouma herrerensis,BHA,Bosques Húmedos Amazónicos
Pourouma montana,BMHM,Bosques Muy Húmedos Montanos
Monteverdia cuzcoina,MA,Mesoandina
Maytenus durifolia,MDE,Matorral Desértico
Maytenus durifolia,MA,Mesoandina
Maytenus pavonii,Sin datos,Sin datos
Schaefferia serrata,DCT,Desierto Cálido Tropical
Schaefferia serrata,MDE,Matorral Desértico
Schaefferia serrata,MA,Mesoandina
Atriplex rotundifolia,DCT,Desierto Cálido Tropical
Atriplex rotundifolia,DST,Desierto Semicálido Tropical
Atriplex rotundifolia,MDE,Matorral Desértico
Hedyosmum peruvianum,BMHM,Bosques Muy Húmedos Montanos
Hirtella aramangensis,BHA,Bosques Húmedos Amazónicos
Hirtella revillae,BHA,Bosques Húmedos Amazónicos
Hirtella standleyi,BHA,Bosques Húmedos Amazónicos
Hirtella subglanduligera,BHA,Bosques Húmedos Amazónicos
Moquilea cecidiophora,BHA,Bosques Húmedos Amazónicos
Moquilea filomenoi,BHA,Bosques Húmedos Amazónicos
Hymenopus intrapetiolaris,BHA,Bosques Húmedos Amazónicos
Moquilea klugii,BHA,Bosques Húmedos Amazónicos
Licania trigonioides,BHA,Bosques Húmedos Amazónicos
Moquilea vasquezii,BHA,Bosques Húmedos Amazónicos
Clethra retivenia,Sin datos,Sin datos
Caraipa jaramilloi,BHA,Bosques Húmedos Amazónicos
Caraipa utilis,BHA,Bosques Húmedos Amazónicos
Clusia cajamarcensis,MA,Mesoandina
Clusia carinata,BMHP,Bosques Muy Húmedos Premontanos
Clusia carinata,BHA,Bosques Húmedos Amazónicos
Clusia cassinioides,BMHP,Bosques Muy Húmedos Premontanos
Clusia engleriana,BMHM,Bosques Muy Húmedos Montanos
Clusia pseudochina,Sin datos,Sin datos
Clusia sandiensis,BMHM,Bosques Muy Húmedos Montanos
Clusia spruceana,BMHP,Bosques Muy Húmedos Premontanos
Haploclathra cordata,BHA,Bosques Húmedos Amazónicos
Havetiopsis hippocrateoides,BHA,Bosques Húmedos Amazónicos
Hypericum callacallanum,PAR,PAR
Hypericum cassiopiforme,PAR,PAR
Hypericum recurvum,PAR,PAR
Hypericum recurvum,BPM,Bosques Pluviales Montanos
Hypericum stuebelii,PAR,PAR
Hypericum stuebelii,BPM,Bosques Pluviales Montanos
Hypericum wurdackii,BMHM,Bosques Muy Húmedos Montanos
Kielmeyera peruviana,BMHM,Bosques Muy Húmedos Montanos
Marila nitida,BMHP,Bosques Muy Húmedos Premontanos
Oedematopus congestiflorus,BMHM,Bosques Muy Húmedos Montanos
Tovomita chachapoyasensis,BMHM,Bosques Muy Húmedos Montanos
Tovomita microcarpa,Sin datos,Sin datos
Tovomita weberbaueri,BMHM,Bosques Muy Húmedos Montanos
Plowmanianthus perforans,BHA,Bosques Húmedos Amazónicos
Plowmanianthus peruvianus,BHA,Bosques Húmedos Amazónicos
Tripogandra ionantha,BMHM,Bosques Muy Húmedos Montanos
Connarus bracteosovillosus,BHA,Bosques Húmedos Amazónicos
Pseudoconnarus agelaeoides,BHA,Bosques Húmedos Amazónicos
Rourea omissa,BHA,Bosques Húmedos Amazónicos
Evolvulus magnus,MDE,Matorral Desértico
Evolvulus piurensis,DCT,Desierto Cálido Tropical
Evolvulus weberbaueri,BS,Bosques Secos
Ipomoea pulcherrima,BS,Bosques Secos
Ipomoea sawyeri,BMHM,Bosques Muy Húmedos Montanos
Ipomoea wolcottiana,DCT,Desierto Cálido Tropical
Jacquemontia caudata,MDE,Matorral Desértico
Jacquemontia peruviana,MDE,Matorral Desértico
Merremia grandiflora,MDE,Matorral Desértico
Merremia weberbaueri,MA,Mesoandina
Costus asteranthus,BMHP,Bosques Muy Húmedos Premontanos
Costus productus var. productus,BHA,Bosques Húmedos Amazónicos
Monocostus uniflorus,BHA,Bosques Húmedos Amazónicos
Echeveria chiclensis var. backebergii,MA,Mesoandina
Echeveria chiclensis var. chiclensis,MA,Mesoandina
Echeveria chiclensis var. chiclensis,PSH,Puna Húmeda y Seca
Echeveria decumbens,MA,Mesoandina
Echeveria eurychlamys,MA,Mesoandina
Echeveria eurychlamys,BS,Bosques Secos
Echeveria excelsa,AA,Altoandina
Echeveria excelsa,MA,Mesoandina
Echeveria excelsa,PSH,Puna Húmeda y Seca
Echeveria oreophila,PAR,PAR
Echeveria utcubambensis,BS,Bosques Secos
Echeveria wurdackii,BMHM,Bosques Muy Húmedos Montanos
Sedum reniforme,MA,Mesoandina
Sedum reniforme,PSH,Puna Húmeda y Seca
Sedum weberbaueri,BS,Bosques Secos
Villadia andina,MA,Mesoandina
Villadia andina,PSH,Puna Húmeda y Seca
Villadia berillonana,MA,Mesoandina
Villadia dyvrandae,MA,Mesoandina
Villadia grandyi,Sin datos,Sin datos
Villadia incarum,PSH,Puna Húmeda y Seca
Apodanthera cinerea,BHA,Bosques Húmedos Amazónicos
Apodanthera eriocalyx,MDE,Matorral Desértico
Apodanthera ferreyrana,DST,Desierto Semicálido Tropical
Apodanthera ferreyrana,MDE,Matorral Desértico
Apodanthera herrerae,MA,Mesoandina
Apodanthera latipetala,Sin datos,Sin datos
Apodanthera mathewsii,Sin datos,Sin datos
Apodanthera moqueguana,MA,Mesoandina
Apodanthera mucronata,Sin datos,Sin datos
Apodanthera tumbeziana,Sin datos,Sin datos
Apodanthera weberbaueri,DST,Desierto Semicálido Tropical
Apodanthera weberbaueri,MDE,Matorral Desértico
Calycophysum weberbaueri,BMHM,Bosques Muy Húmedos Montanos
Cayaponia peruviana,BMHP,Bosques Muy Húmedos Premontanos
Cayaponia tessmannii,BHA,Bosques Húmedos Amazónicos
Elateriopsis macropoda,Sin datos,Sin datos
Gurania pycnocephala,BHA,Bosques Húmedos Amazónicos
Gurania smithii,BMHM,Bosques Muy Húmedos Montanos
Guraniopsis longipedicellata,BMHM,Bosques Muy Húmedos Montanos
Sicyos acarieanthus,MDE,Matorral Desértico
Sicyos chaetocephalus,DCT,Desierto Cálido Tropical
Sicyos gracillimus,DST,Desierto Semicálido Tropical
Sicyos gracillimus,MDE,Matorral Desértico
Sicyos urolobus,MA,Mesoandina
Sicyos vargasii,Sin datos,Sin datos
Sicyos weberbaueri,DCT,Desierto Cálido Tropical
Weinmannia apurimacensis,MA,Mesoandina
Weinmannia cutervensis,BMHM,Bosques Muy Húmedos Montanos
Weinmannia descendens,BMHP,Bosques Muy Húmedos Premontanos
Weinmannia glomerata,Sin datos,Sin datos
Weinmannia microphylla var. tenuior,BMHM,Bosques Muy Húmedos Montanos
Weinmannia microphylla var. weddellii,Sin datos,Sin datos
Weinmannia piurensis,BMHM,Bosques Muy Húmedos Montanos
Weinmannia ulei,BMHP,Bosques Muy Húmedos Premontanos
Cuscuta bella,MA,Mesoandina
Cuscuta cockerellii,MA,Mesoandina
Cuscuta hitchcockii,DST,Desierto Semicálido Tropical
Cuscuta lucidacarpa,Sin datos,Sin datos
Cuscuta paitana,DCT,Desierto Cálido Tropical
Cuscuta peruviana,Sin datos,Sin datos
Cuscuta rubella,MA,Mesoandina
Cyathea alatissima,BMHM,Bosques Muy Húmedos Montanos
Cyathea multisegmenta,BMHM,Bosques Muy Húmedos Montanos
Cyathea rufescens,BMHP,Bosques Muy Húmedos Premontanos
Cyathea ruiziana,BMHM,Bosques Muy Húmedos Montanos
Cyathea vilhelmii,BMHM,Bosques Muy Húmedos Montanos
Trichipteris flava,BMHM,Bosques Muy Húmedos Montanos
Cyathea serpens,BMHM,Bosques Muy Húmedos Montanos
Asplundia humilis,BHA,Bosques Húmedos Amazónicos
Asplundia parviflora,BMHP,Bosques Muy Húmedos Premontanos
Asplundia platanthera,BMHP,Bosques Muy Húmedos Premontanos
Asplundia platanthera,BHA,Bosques Húmedos Amazónicos
Asplundia ulei,BHA,Bosques Húmedos Amazónicos
Dicranopygium latissimum,BMHP,Bosques Muy Húmedos Premontanos
Dicranopygium pachystemon,BHA,Bosques Húmedos Amazónicos
Sphaeradenia angustifolia,BMHM,Bosques Muy Húmedos Montanos
Carex david-smithii,PSH,Puna Húmeda y Seca
Carex hebetata,PAR,PAR
Carex hebetata,AA,Altoandina
Cyperus tacnensis var. weberbaueri,DST,Desierto Semicálido Tropical
Eleocharis grossimucronata,MA,Mesoandina
Pleurostachys pearcei,Sin datos,Sin datos
Rhynchospora killipii,BMHM,Bosques Muy Húmedos Montanos
Scirpus fragrans,Sin datos,Sin datos
Lindsaea spruceana,BMHP,Bosques Muy Húmedos Premontanos
Tapura ferreyrae,BHA,Bosques Húmedos Amazónicos
Doliocarpus gentryi,BHA,Bosques Húmedos Amazónicos
Doliocarpus pipolyi,BHA,Bosques Húmedos Amazónicos
Neodillenia peruviana,BHA,Bosques Húmedos Amazónicos
Dioscorea ainensis,BMHP,Bosques Muy Húmedos Premontanos
Dioscorea ancachsensis,PSH,Puna Húmeda y Seca
Dioscorea ancachsensis,PAR,PAR
Dioscorea andromedusae,BMHM,Bosques Muy Húmedos Montanos
Dioscorea callacatensis,Sin datos,Sin datos
Dioscorea chagllaensis,BMHM,Bosques Muy Húmedos Montanos
Dioscorea chancayensis,DCT,Desierto Cálido Tropical
Dioscorea chancayensis,DST,Desierto Semicálido Tropical
Dioscorea chaponensis var. chazutensis,BHA,Bosques Húmedos Amazónicos
Dioscorea ferreyrae,MDE,Matorral Desértico
Dioscorea gentryi,MDE,Matorral Desértico
Dioscorea haenkeana,BHA,Bosques Húmedos Amazónicos
Dioscorea huallagensis,BMHP,Bosques Muy Húmedos Premontanos
Dioscorea huallagensis,BHA,Bosques Húmedos Amazónicos
Dioscorea incayensis,BMHM,Bosques Muy Húmedos Montanos
Dioscorea macbrideana,BMHP,Bosques Muy Húmedos Premontanos
Dioscorea macbrideana,BHA,Bosques Húmedos Amazónicos
Dioscorea monadelphoides var. longirachis,MA,Mesoandina
Dioscorea monadelphoides var. longirachis,BMHM,Bosques Muy Húmedos Montanos
Dioscorea poeppigii,Sin datos,Sin datos
Dioscorea putisensis,BPM,Bosques Pluviales Montanos
Dioscorea quispicanchensis,BMHM,Bosques Muy Húmedos Montanos
Dioscorea sandiensis,BMHM,Bosques Muy Húmedos Montanos
Dioscorea schubertiae,BMHM,Bosques Muy Húmedos Montanos
Dioscorea tambillensis,BMHM,Bosques Muy Húmedos Montanos
Dioscorea vargasii,MA,Mesoandina
Drosera peruensis,BMHM,Bosques Muy Húmedos Montanos
Diospyros manu,BHA,Bosques Húmedos Amazónicos
Diospyros panguana,BHA,Bosques Húmedos Amazónicos
Diospyros rotok,BHA,Bosques Húmedos Amazónicos
Diospyros tessmannii,BHA,Bosques Húmedos Amazónicos
Diospyros urep,BHA,Bosques Húmedos Amazónicos
Lissocarpa uyat,BMHP,Bosques Muy Húmedos Premontanos
Lissocarpa uyat,BHA,Bosques Húmedos Amazónicos
Lepidoceras peruvianum,MA,Mesoandina
Agarista bracamorensis,MA,Mesoandina
Agarista subcordata,MA,Mesoandina
Agarista subcordata,PAR,PAR
Bejaria infundibula,MA,Mesoandina
Bejaria infundibula,BMHM,Bosques Muy Húmedos Montanos
Cavendishia nobilis var. nobilis,BMHM,Bosques Muy Húmedos Montanos
Cavendishia punctata,BMHM,Bosques Muy Húmedos Montanos
Ceratostema callistum,MA,Mesoandina
Ceratostema ferreyrae,BMHP,Bosques Muy Húmedos Premontanos
Ceratostema rauhii,MA,Mesoandina
Demosthenesia amicorum,BMHM,Bosques Muy Húmedos Montanos
Demosthenesia buxifolia,BMHM,Bosques Muy Húmedos Montanos
Demosthenesia cordifolia,BPM,Bosques Pluviales Montanos
Demosthenesia dudleyi,BPM,Bosques Pluviales Montanos
Demosthenesia oppositifolia,BPM,Bosques Pluviales Montanos
Demosthenesia oppositifolia,BMHM,Bosques Muy Húmedos Montanos
Demosthenesia vilcabambensis,BMHM,Bosques Muy Húmedos Montanos
Demosthenesia weberbaueri,BPM,Bosques Pluviales Montanos
Diogenesia caudata,BPM,Bosques Pluviales Montanos
Diogenesia caudata,BMHM,Bosques Muy Húmedos Montanos
Diogenesia laxa,PSH,Puna Húmeda y Seca
Diogenesia laxa,BPM,Bosques Pluviales Montanos
Diogenesia vargasiana,BMHM,Bosques Muy Húmedos Montanos
Disterigma ulei,BMHP,Bosques Muy Húmedos Premontanos
Disterigma weberbaueri,MA,Mesoandina
Orthaea breviflora,BMHM,Bosques Muy Húmedos Montanos
Pellegrinia coccinea,MA,Mesoandina
Pellegrinia grandiflora,MA,Mesoandina
Pellegrinia grandiflora,PSH,Puna Húmeda y Seca
Pellegrinia harmsiana,PSH,Puna Húmeda y Seca
Pellegrinia harmsiana,BPM,Bosques Pluviales Montanos
Pellegrinia hirsuta,BMHM,Bosques Muy Húmedos Montanos
Psammisia globosa,BMHP,Bosques Muy Húmedos Premontanos
Satyria polyantha,BMHM,Bosques Muy Húmedos Montanos
Satyria vargasii,BMHP,Bosques Muy Húmedos Premontanos
Sphyrospermum buesii,BMHM,Bosques Muy Húmedos Montanos
Sphyrospermum weberbaueri,BMHM,Bosques Muy Húmedos Montanos
