featurecla,scalerank,adm1_code,diss_me,iso_3166_2,wikipedia,iso_a2,adm0_sr,name,name_alt,name_local,type,type_en,code_local,code_hasc,note,hasc_maybe,region,region_cod,provnum_ne,gadm_level,check_me,datarank,abbrev,postal,area_sqkm,sameascity,labelrank,name_len,mapcolor9,mapcolor13,fips,fips_alt,woe_id,woe_label,woe_name,latitude,longitude,sov_a3,adm0_a3,adm0_label,admin,geonunit,gu_a3,gn_id,gn_name,gns_id,gns_name,gn_level,gn_region,gn_a1_code,region_sub,sub_code,gns_level,gns_lang,gns_adm1,gns_region,min_label,max_label,min_zoom,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,ne_id,geometry,dep_id
Admin-1 scale rank,4,PER-575,575,PE-TAC,NA,PE,1,Tacna,NA,NA,Departamento,Department,NA,PE.TA,NA,PE.MQ|PER-TAC,NA,NA,8,1,10,5,NA,TA,0,7,7,5,4,11,PE23,PE18,2346490,"Tacna, PE, Peru",Tacna,-17.5742,-70.3423,PER,PER,2,Peru,Peru,PER,3928127,Region de Tacna,-364868,"Tacna, Region de",1,NA,PE.23,NA,NA,1,fra,PE23,NA,6.6,11,6.6,Q207413,NA,NA,Tacna,Tacna Region,Departamento de Tacna,Région de Tacna,NA,NA,Tacna megye,Region Tacna,regione di Tacna,NA,NA,Tacna,Region Tacna,Tacna,NA,Tacna,Tacna Bölge,NA,NA,1159309955,"list(list(c(-69.5100887519999, -69.6383238179999, -69.6839024309999, -69.7290417949999, -69.7758089659999, -69.8180544489999, -69.8498354549999, -69.8575610819999, -69.8460889139999, -69.8290356909999, -69.8200956679999, -69.8181578019999, -69.812783453, -69.790614264, -69.7823718729999, -69.7798914039999, -69.7830953429999, -69.8435826069999, -69.8653383849999, -69.8834509749999, -69.9228025779999, -69.9703448949999, -69.9877856919999, -70.010006557, -70.03935877, -70.0632332819999, -70.1341591859999, 
-70.1590672269999, -70.2108728489999, -70.3178947399999, -70.3693903059999, -70.3947027467787, -70.4197391209999, -70.4694031369999, -70.531251617, -70.5621946559999, -70.5978061779999, -70.6344057789999, -70.6832560909999, -70.7333878249999, -70.7366837229999, -70.7421768869999, -70.7476700509999, -70.7523494129999, -70.7624405589999, -70.7681778639999, -70.8261612619999, -70.8434952459999, -70.8788956369999, -70.8916723299999, -70.9048966139999, -70.9146215489999, -70.9288630849999, -70.944894986, 
-70.9870499339999, -71.0071508449999, -71.0663142569999, -71.0865779289999, -71.1380916009999, -71.1595759759999, -71.1730850899999, -71.1758135434, -71.17572750542, -71.1640486314392, -71.1480030992636, -71.1424478826636, -71.1360141669202, -71.1260922921256, -71.0893245103179, -71.0504638334392, -70.9613219881193, -70.9482995270016, -70.9317630684109, -70.924218308628, -70.9176037257313, -70.8997753568472, -70.8919205387019, -70.8810684879203, -70.8407608711173, -70.8347147281022, -70.826524014072, 
-70.8144058914187, -70.807972174776, -70.803605515682, -70.7940195376715, -70.7896787178985, -70.7471231763935, -70.729088101035, -70.7192179021844, -70.7081591458279, -70.7004593573135, -70.6868167785715, -70.6689367337432, -70.6465091617684, -70.5968997868956, -70.5162587139685, -70.4869840159996, -70.476752081943, -70.4750984364437, -70.4746850252937, -70.4775013898772, -70.4859246488035, -70.4863122224311, -70.487500779937, -70.4924358789127, -70.4901879542107, -70.4850203112384, -70.4728763501634, 
-70.4691298077944, -70.4679670878108, -70.4625927401628, -70.4560039938892, -70.4330338195551, -70.4083324862552, -70.393708054683, -70.374536098662, -70.3555450097944, -70.3319547187353, -70.3219811670972, -70.3136871002794, -70.2888824123934, -70.2800715807388, -70.2692970452225, -70.2557319808462, -70.2402032126082, -70.2256562972003, -70.1998697582827, -70.1779847886671, -70.158942022956, -70.0943981590478, -70.0391560532093, -70.0165217756594, -70.0090803695634, -70.0007087883799, -69.9991584947687, 
-69.9969880853319, -69.9938358221655, -69.9892107815523, -69.9669640767307, -69.9329351469395, -69.9120837060981, -69.9071227687008, -69.8980277171054, -69.8937902492206, -69.8854186671377, -69.8747733219312, -69.8446459623413, -69.836455248311, -69.8305124580835, -69.8244663150684, -69.8088341949421, -69.8019095527836, -69.7969486153863, -69.7905148987436, -69.7803863192732, -69.7746502346206, -69.7707486644193, -69.7615502591372, -69.7576228496148, -69.7410088766583, -69.7336449858274, -69.7262810940972, 
-69.7195373199913, -69.7128968977736, -69.6787129383514, -69.6676283426739, -69.6644157224076, -69.6130071619999, -69.5972716879999, -69.5569382329999, -69.5370944829999, -69.5225992439999, -69.5113854579999, -69.5083365479999, -69.5100935469999, -69.5100887519999, -17.5065881979999, -17.62606411, -17.65603644, -17.6632711399999, -17.6569666159999, -17.6591370259999, -17.6915898259999, -17.7341712059999, -17.769104474, -17.8038310369999, -17.8461023579999, -17.87142381, -17.8882703269999, -17.924753888, 
-17.943874168, -17.9625810369999, -17.9815979629999, -18.113166161, -18.1445854319999, -18.1636023579999, -18.1964685699999, -18.2506254709999, -18.2642680489999, -18.272639631, -18.273053042, -18.280701153, -18.318941714, -18.325969709, -18.3312407039999, -18.321215477, -18.3247294739999, -18.3377462063681, -18.3164155199999, -18.2860938179999, -18.2432587329999, -18.2244772879999, -18.2057052329999, -18.18686758, -18.161697838, -18.1154924459999, -18.111097915, -18.1003557269999, -18.0944149719999, 
-18.0917294249999, -18.0904273419999, -18.0881486959999, -18.0367164039999, -18.0266252579999, -18.0166968729999, -18.005629165, -17.966566665, -17.9465471329999, -17.9379208309999, -17.9315731749999, -17.9008114559999, -17.8902320289999, -17.8717587219999, -17.8690731749999, -17.8207333309999, -17.8082007789999, -17.7963192689999, -17.7932990024327, -17.793177178484, -17.7766407198933, -17.7458415667349, -17.7375733365403, -17.7300285776568, -17.7207784964305, -17.6931832814832, -17.6702389455709, 
-17.6356674125211, -17.6312749159047, -17.6233684218152, -17.6163921037126, -17.606728610437, -17.5585144995445, -17.5469389792505, -17.5345366348578, -17.4980013970468, -17.4911284317317, -17.4797596170127, -17.4586239562306, -17.4436894671952, -17.4303052708715, -17.3840548638409, -17.3742880177778, -17.3233350557682, -17.2967733695953, -17.2758444152876, -17.2583261038666, -17.2493344050587, -17.2396192358391, -17.2310926250246, -17.2242713356536, -17.2035490860215, -17.1153890926325, -17.076631767642, 
-17.0602503386822, -17.0470211728888, -17.0336369765652, -17.0208212219218, -17.0011325010641, -16.9995822074529, -16.9964816220293, -16.9725037564432, -16.9524533021782, -16.9368986955184, -16.9090967749962, -16.8954541971535, -16.8821733536174, -16.8702877740615, -16.8603658992669, -16.8355612122801, -16.8207300760322, -16.8171644017158, -16.8174744609776, -16.819954928777, -16.8304452452519, -16.8376282689294, -16.8501856420538, -16.9078565406468, -16.9201038545093, -16.9300257302033, -16.9365886371559, 
-16.9392241345861, -16.939585869792, -16.9225843241073, -16.8701327444306, -16.914367770756, -17.0079537895357, -17.1079476856372, -17.1382817517015, -17.1426225732731, -17.1444829234482, -17.1444829234482, -17.1448963354975, -17.1460332170593, -17.1486170385455, -17.1647400859862, -17.1949191215202, -17.2101119929741, -17.2119723449478, -17.2139877247537, -17.2145561655346, -17.217915134276, -17.2236512180293, -17.2438050268805, -17.2479391419778, -17.2485592587028, -17.2480941707094, -17.2430298796252, 
-17.2399292951009, -17.2386890598522, -17.2379655894404, -17.2392058237897, -17.2419446749068, -17.2454069955364, -17.2648890108192, -17.2714002418277, -17.2911406386296, -17.2968767232821, -17.2998222799743, -17.3001840151802, -17.2998739559183, -17.2934660776974, -17.2891252579243, -17.2885624630872, -17.2951189169999, -17.3004932659999, -17.3314991249999, -17.3511361699999, -17.3691195679999, -17.398678487, -17.4340251659999, -17.505441996, -17.5065881979999)))",Tacna
Admin-1 scale rank,4,PER-572,572,PE-MDD,NA,PE,1,Madre de Dios,NA,NA,Departamento,Department,NA,PE.MD,NA,NA,NA,NA,22,1,0,5,NA,MD,0,NA,4,13,4,11,PE17,NA,2346484,"Madre de Dios, PE, Peru",Madre de Dios,-11.8726,-70.6831,PER,PER,2,Peru,Peru,PER,3935619,Region de Madre de Dios,-353798,"Madre de Dios, Region de",1,NA,PE.17,NA,NA,1,fra,PE17,NA,6.6,11,6.6,Q210896,NA,NA,Madre de Dios,Madre de Dios Region,Departamento de Madre de Dios,Région de Madre de Dios,NA,NA,Madre de Dios megye,Region Madre de Dios,regione di Madre de Dios,NA,NA,Madre de Dios,Region Madre de Dios,Madre de Deus,NA,Madre de Dios,Madre de Dior Bölgesi,NA,NA,1159309947,"list(list(c(-69.5962381589999, -69.5776346439999, -69.574017294, -69.5705032959999, -69.5668342689999, -69.5632685959999, -69.5597287599999, -69.5561114099999, -69.5524940599999, -69.5489542239999, -69.4445678309999, -69.3403364669999, -69.2359500729999, -69.131589519, -69.0272806399999, -68.9228684089999, -68.8185595299999, -68.7142248139999, -68.6894632382379, -68.6842524829999, -68.694381063, -68.7002204999999, -68.7062666429999, -68.7145348719999, -68.7260587159999, -68.7402697349999, -68.7701128749999, 
-68.7838846439999, -68.7934189459999, -68.7946075039999, -68.785331584, -68.7529821379999, -68.7429569099999, -68.766133789, -68.7737302249999, -68.8562058109999, -68.876566326, -68.89199174, -68.9046266279999, -68.92661495, -68.9387330739999, -68.9494300949999, -68.9809527179999, -68.9865854489998, -68.9862237149999, -68.9739362459999, -68.9744665191146, -69.6052290506801, -69.6213779356432, -69.6484305491305, -70.3212835351071, -70.3376132881227, -70.3557775537911, -70.3885145741883, -70.4209415353236, 
-70.4743749660319, -70.5209871082684, -70.5525355702604, -70.5671858375563, -70.5773144188254, -70.5823528705885, -70.577133551672, -70.5671083240899, -70.5546284653314, -70.5293070144072, -70.5213746809967, -70.521142137, -70.533518642971, -70.5534657462472, -70.6784193589662, -70.9585831370022, -70.9856615871125, -71.0185277978196, -71.0341857572669, -71.1586226060484, -71.1749265197431, -71.3271136140021, -71.4323268299192, -71.4506978011626, -71.4748306945809, -71.4856310703177, -71.4989635888985, 
-71.5193757801681, -71.5711038894329, -71.5890356111046, -71.6110756085525, -71.7980667789587, -71.8245251132434, -71.8548075015649, -71.8712147689464, -71.8955802072608, -71.9059154932054, -71.9129951649949, -71.9128142969423, -71.9082409331725, -71.8913169009542, -71.8906709458075, -71.897595587966, -71.912064989008, -71.9452412580776, -71.9676946675748, -71.975652839407, -71.9874092268543, -71.9981579248483, -72.0076922269147, -72.0210505848166, -72.0358300442211, -72.0658023750796, -72.0938885164419, 
-72.1060841543602, -72.1159285138898, -72.1252302719595, -72.15300635406, -72.161713832927, -72.172255825346, -72.1858984040881, -72.2576252916738, -72.3389123197477, -72.3570507469944, -72.3606422588331, -72.3631227284312, -72.3663783425864, -72.3835607572232, -72.3837933012198, -72.3764552479113, -72.3668175930575, -72.3537951319398, -72.3495318256332, -72.3319360007458, -72.2018922594202, -72.1851232568328, -72.180472377798, -72.1805498930631, -72.1809891426348, -72.1775009826842, -72.1709122382092, 
-72.1602152170586, -72.0864729478682, -72.0831914943919, -72.0823388327709, -72.0904778708571, -72.1450998599706, -72.1464951239508, -72.1452290511797, -72.1354363666949, -72.1172462626049, -72.08094356969, -72.059497849646, -72.0420828928113, -72.000870938443, -71.9928869290885, -71.9679013740492, -71.8285558737546, -71.8055081850547, -71.7953279278416, -71.3513240217862, -71.2651277331584, -71.2457232331407, -71.2063716298468, -71.1491658192472, -71.0977219308224, -71.0359944323971, -71.018579474663, 
-70.9942398747704, -70.8984317688111, -70.8674259100777, -70.8546101554343, -70.8463160877172, -70.8369368152818, -70.8319500385634, -70.8181524319891, -70.8026753396952, -70.7714627753867, -70.6393519756132, -70.638659638, -70.6388618579999, -70.639171916, -70.6394819739999, -70.63984371, -70.6402054449999, -70.6405155029999, -70.6408513999999, -70.6411356209999, -70.6413423259999, -70.555559449, -70.5341137289999, -70.5071903079999, -70.462490194, -70.4372720949999, -70.3913059089999, -70.3410247399999, 
-70.2893999839999, -70.2394805509999, -70.1987336829999, -69.956112834, -69.9142032469999, -69.8951346439999, -69.8757043059999, -69.8350866289999, -69.8083182379999, -69.7910583099999, -69.7534378669999, -69.72020992, -69.5962381589999, -10.9519918819999, -10.9523019409999, -10.9585031129999, -10.964600932, -10.9706987509999, -10.9768999229999, -10.9831010939999, -10.9894056189999, -10.9956067919999, -11.0017046099999, -11.1826754759999, -11.3637496949999, -11.5449272659999, -11.726001485, -11.9070757029999, 
-12.0881499229999, -12.2692241419999, -12.4502983599999, -12.4934176561, -12.5024915569999, -12.5068323769999, -12.5160307819999, -12.5359778849999, -12.5511707559999, -12.5659502159999, -12.5785592649999, -12.594372253, -12.6057410689999, -12.6202104699999, -12.636540222, -12.6459453329999, -12.6547303259999, -12.6657890829999, -12.710540873, -12.719429219, -12.7414433789999, -12.7549826049999, -12.775756531, -12.8039718629999, -12.8009746299999, -12.8196814979999, -12.843866068, -12.8679472859999, 
-12.8904782099999, -12.9333696499999, -13.031759583, -13.0320207661454, -13.3426994764997, -13.3467302388095, -13.3415109189937, -13.0145024547245, -13.0114535461443, -13.0245793600494, -13.0171379530541, -13.013985690787, -13.0196184217528, -13.0097482238015, -13.0076811662528, -13.0099032525331, -13.0152776019797, -13.0292302390843, -13.0418909640967, -13.0528463676657, -13.0621998016795, -13.0776510555518, -13.0877279599774, -13.0995618626898, -13.1098454726904, -13.1177002908358, -13.1252450497193, 
-13.075739027634, -13.0772893212452, -13.0742404108663, -13.0694345030998, -12.9902145316753, -12.9823080375859, -12.9413286272144, -12.9017961558679, -12.8920809866482, -12.8741492649766, -12.8691883275793, -12.8657776828937, -12.8656226541622, -12.870893649922, -12.870893649922, -12.8684648580668, -12.8100704890618, -12.7981332326626, -12.7765324847863, -12.7503325329201, -12.6997929829598, -12.684445081875, -12.6675468889778, -12.6420704075233, -12.6243453905274, -12.5803170706763, -12.5575277652941, 
-12.5250232888937, -12.4783077938696, -12.4026018208174, -12.3569715305117, -12.3441557758684, -12.3302031387639, -12.3235368790238, -12.3198678519198, -12.3164572081337, -12.3153720025159, -12.3102043595435, -12.2976986632627, -12.2876734347812, -12.2747026505069, -12.2587346326972, -12.1555367974852, -12.1339877246538, -12.1172962382308, -12.1075810690111, -12.0733712702679, -12.0226250138333, -12.0053650857301, -12.0005075011203, -11.9958049461413, -11.9863481575414, -11.9022189264623, -11.8873877911137, 
-11.8503357884659, -11.8224821919995, -11.7598503560091, -11.7211963838061, -11.6669361298985, -11.4266407199933, -11.3743441708468, -11.3132109507248, -11.3123324515814, -11.2896981749308, -11.2601392552224, -11.2395720352213, -11.2145089658162, -11.084542737957, -11.0689364562525, -11.0562240534973, -11.0393258597007, -10.9721464974629, -10.9605709771689, -10.9506491014749, -10.9401587867986, -10.9333374974275, -10.9355079077637, -10.9408822572104, -10.9483236633064, -10.9799496396641, -10.9840837538621, 
-10.9895614560963, -10.9842387825938, -10.9796395813016, -10.9760222310412, -10.7490593397168, -10.7237895647366, -10.7154696585979, -10.6914917939112, -10.644311211793, -10.6124268530169, -10.5625590957257, -10.5521721329376, -10.5333619121225, -10.4205522595791, -10.37363005898, -10.3408672010605, -10.30712249121, -10.1684746229055, -10.145840346255, -10.1015536430862, -10.0822266574343, -10.0523576802627, -9.95639454467249, -9.95589164199987, -10.0388693239999, -10.1662000529999, -10.2935307819999, 
-10.4208615109999, -10.5480888869999, -10.6754196169999, -10.802646992, -10.9298743689999, -11.0107996619999, -10.9427934779999, -10.9381425989999, -10.96129364, -11.0139002479999, -11.036741232, -11.0590654499999, -11.067230326, -11.0647498579999, -11.0551380409999, -11.0411854039999, -10.9193323769999, -10.9213994339999, -10.9268771369999, -10.9280140169999, -10.9253268429999, -10.9271871949999, -10.9343185429999, -10.9582964069999, -10.9649109899999, -10.9519918819999)))",Madre de Dios
